kalshi_team_name,sportradar_team_id,kalshi_aliases,notes
Atlanta,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,,2025-2026 WNBA market display name
Chicago,3c409388-ab73-4c7f-953d-3a71062240f6,,2025-2026 WNBA market display name
Connecticut,a015b02d-845c-40c1-8ef4-844984f47e4d,,2025-2026 WNBA market display name
Dallas,5f0b5caf-708b-4300-92f2-53b51d83ec06,,2025-2026 WNBA market display name
Golden State,4f57ec40-0d35-4b59-bea0-9d040f0d2292,,2025-2026 WNBA market display name
Indiana,f073a15f-0486-4179-b0a3-dfd0294eb595,,2025-2026 WNBA market display name
Las Vegas,171b097d-01db-4ae8-9d56-035689402ec6,,2025-2026 WNBA market display name
Los Angeles,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,,2025-2026 WNBA market display name
Minnesota,6f017f37-be96-4bdc-b6d3-0a0429c72e89,,2025-2026 WNBA market display name
New York,08ed8274-e29f-4248-bc2e-83cc8ed18d75,,2025-2026 WNBA market display name
Phoenix,0699edf3-5993-4182-b9b4-ec935cbd4fcc,,2025-2026 WNBA market display name
Portland,d54283cc-c5ec-4dbd-bb61-166f217e3864,Portland Fire,2026 WNBA expansion team; trading gated until 14 completed prior games
Seattle,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,,2025-2026 WNBA market display name
Toronto,4e4f726e-a015-4306-91a7-28e8576c7868,Toronto Tempo,2026 WNBA expansion team; trading gated until 14 completed prior games
Washington,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,,2025-2026 WNBA market display name
