market_ticker,event_ticker,series_ticker,title,yes_sub_title,no_sub_title,status,market_type,open_time,close_time,expected_expiration_time,settlement_ts,rules_primary,rules_secondary,expiration_value,can_close_early,early_close_condition,result,settlement_value_dollars,last_price_dollars,volume_fp,open_interest_fp,custom_strike
KXWNBAGAME-25AUG01GSCHI-CHI,KXWNBAGAME-25AUG01GSCHI,KXWNBAGAME,Golden State vs Chicago Winner?,Chicago,Chicago,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:36:30.038600+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:41:31.381720+00:00,"If Chicago wins the Golden State vs Chicago professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Golden State vs Chicago professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Golden State,True,This market will close and expire after a winner is declared.,no,0.0,0.02,53045.0,27320.0,{'basketball_team': '3512bac1-d718-416b-bd86-697f361f6e68'}
KXWNBAGAME-25AUG01GSCHI-GS,KXWNBAGAME-25AUG01GSCHI,KXWNBAGAME,Golden State vs Chicago Winner?,Golden State,Golden State,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:36:30.038600+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:41:31.381720+00:00,"If Golden State wins the Golden State vs Chicago professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Golden State vs Chicago professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Golden State,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,79917.0,37282.0,{'basketball_team': '3da59c6b-c58b-4900-88cf-cf8382611868'}
KXWNBAGAME-25AUG01INDDAL-DAL,KXWNBAGAME-25AUG01INDDAL,KXWNBAGAME,Indiana vs Dallas Winner?,Dallas,Dallas,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:42:47.819024+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:47:47.202033+00:00,"If Dallas wins the Indiana vs Dallas professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Indiana vs Dallas professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Indiana,True,This market will close and expire after a winner is declared.,no,0.0,0.01,68409.0,41970.0,{'basketball_team': 'e1f8423b-aac4-4be1-a81e-934ca854f69c'}
KXWNBAGAME-25AUG01INDDAL-IND,KXWNBAGAME-25AUG01INDDAL,KXWNBAGAME,Indiana vs Dallas Winner?,Indiana,Indiana,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:42:47.819024+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:47:47.202033+00:00,"If Indiana wins the Indiana vs Dallas professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Indiana vs Dallas professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Indiana,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,42758.0,20241.0,{'basketball_team': '4a9939f7-dd96-474a-a036-525722701370'}
KXWNBAGAME-25AUG01LASEA-LA,KXWNBAGAME-25AUG01LASEA,KXWNBAGAME,Los Angeles vs Seattle Winner?,Los Angeles,Los Angeles,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 04:50:59.079122+00:00,2025-08-02 05:00:00+00:00,2025-08-02 04:55:59.186116+00:00,"If Los Angeles wins the Los Angeles vs Seattle professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Los Angeles vs Seattle professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,285168.0,109264.0,{'basketball_team': 'd42bc7b5-1ebd-472d-b74b-ffacfe4eea18'}
KXWNBAGAME-25AUG01LASEA-SEA,KXWNBAGAME-25AUG01LASEA,KXWNBAGAME,Los Angeles vs Seattle Winner?,Seattle,Seattle,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 04:50:59.079122+00:00,2025-08-02 05:00:00+00:00,2025-08-02 04:55:59.186116+00:00,"If Seattle wins the Los Angeles vs Seattle professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Los Angeles vs Seattle professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",,True,This market will close and expire after a winner is declared.,no,0.0,0.01,219968.0,101018.0,{'basketball_team': 'db3626f5-9c8b-4c2b-85d4-e29b5a0520f9'}
KXWNBAGAME-25AUG01NYCONN-CONN,KXWNBAGAME-25AUG01NYCONN,KXWNBAGAME,New York vs Connecticut Winner?,Connecticut,Connecticut,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:41:10.014897+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:46:10.181398+00:00,"If Connecticut wins the New York vs Connecticut professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the New York vs Connecticut professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Connecticut,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,211202.0,100771.0,{'basketball_team': 'f3080452-0b28-45e8-adf6-5b0cfa8347bd'}
KXWNBAGAME-25AUG01NYCONN-NY,KXWNBAGAME-25AUG01NYCONN,KXWNBAGAME,New York vs Connecticut Winner?,New York,New York,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:41:10.014897+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:46:10.181398+00:00,"If New York wins the New York vs Connecticut professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the New York vs Connecticut professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Connecticut,True,This market will close and expire after a winner is declared.,no,0.0,0.01,165019.0,59970.0,{'basketball_team': '604e3820-06da-4bec-911b-63b33d203d42'}
KXWNBAGAME-25AUG01PHXATL-ATL,KXWNBAGAME-25AUG01PHXATL,KXWNBAGAME,Phoenix vs Atlanta Winner?,Atlanta,Atlanta,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:36:29.078658+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:41:29.171238+00:00,"If Atlanta wins the Phoenix vs Atlanta professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Phoenix vs Atlanta professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Atlanta,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,103365.0,41518.0,{'basketball_team': 'b981c23e-ac45-4e4f-b2b3-cf434a4b1eb3'}
KXWNBAGAME-25AUG01PHXATL-PHX,KXWNBAGAME-25AUG01PHXATL,KXWNBAGAME,Phoenix vs Atlanta Winner?,Phoenix,Phoenix,finalized,binary,2025-07-31 12:00:00+00:00,2025-08-02 01:36:29.078658+00:00,2025-08-02 02:30:00+00:00,2025-08-02 01:41:29.171238+00:00,"If Phoenix wins the Phoenix vs Atlanta professional women's basketball game originally scheduled for Aug 1, 2025, then the market resolves to Yes.","The following market refers to the Phoenix vs Atlanta professional women's basketball game originally scheduled for Aug 1, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Atlanta,True,This market will close and expire after a winner is declared.,no,0.0,0.01,65670.0,41876.0,{'basketball_team': 'a007957c-46fa-4d50-82f8-48dd4da02ba6'}
