market_ticker,event_ticker,yes_sub_title,status,result,settlement_value_dollars,settlement_ts,close_time,expiration_value
KXWNBAGAME-25AUG01GSCHI-CHI,KXWNBAGAME-25AUG01GSCHI,Chicago,finalized,no,0.0,2025-08-02 01:41:31.381720+00:00,2025-08-02 01:36:30.038600+00:00,Golden State
KXWNBAGAME-25AUG01GSCHI-GS,KXWNBAGAME-25AUG01GSCHI,Golden State,finalized,yes,1.0,2025-08-02 01:41:31.381720+00:00,2025-08-02 01:36:30.038600+00:00,Golden State
KXWNBAGAME-25AUG01INDDAL-DAL,KXWNBAGAME-25AUG01INDDAL,Dallas,finalized,no,0.0,2025-08-02 01:47:47.202033+00:00,2025-08-02 01:42:47.819024+00:00,Indiana
KXWNBAGAME-25AUG01INDDAL-IND,KXWNBAGAME-25AUG01INDDAL,Indiana,finalized,yes,1.0,2025-08-02 01:47:47.202033+00:00,2025-08-02 01:42:47.819024+00:00,Indiana
KXWNBAGAME-25AUG01LASEA-LA,KXWNBAGAME-25AUG01LASEA,Los Angeles,finalized,yes,1.0,2025-08-02 04:55:59.186116+00:00,2025-08-02 04:50:59.079122+00:00,
KXWNBAGAME-25AUG01LASEA-SEA,KXWNBAGAME-25AUG01LASEA,Seattle,finalized,no,0.0,2025-08-02 04:55:59.186116+00:00,2025-08-02 04:50:59.079122+00:00,
KXWNBAGAME-25AUG01NYCONN-CONN,KXWNBAGAME-25AUG01NYCONN,Connecticut,finalized,yes,1.0,2025-08-02 01:46:10.181398+00:00,2025-08-02 01:41:10.014897+00:00,Connecticut
KXWNBAGAME-25AUG01NYCONN-NY,KXWNBAGAME-25AUG01NYCONN,New York,finalized,no,0.0,2025-08-02 01:46:10.181398+00:00,2025-08-02 01:41:10.014897+00:00,Connecticut
KXWNBAGAME-25AUG01PHXATL-ATL,KXWNBAGAME-25AUG01PHXATL,Atlanta,finalized,yes,1.0,2025-08-02 01:41:29.171238+00:00,2025-08-02 01:36:29.078658+00:00,Atlanta
KXWNBAGAME-25AUG01PHXATL-PHX,KXWNBAGAME-25AUG01PHXATL,Phoenix,finalized,no,0.0,2025-08-02 01:41:29.171238+00:00,2025-08-02 01:36:29.078658+00:00,Atlanta
KXWNBAGAME-25AUG02MINLV-LV,KXWNBAGAME-25AUG02MINLV,Las Vegas,finalized,no,0.0,2025-08-03 16:14:33.171752+00:00,2025-08-03 16:09:33.114580+00:00,Minnesota
KXWNBAGAME-25AUG02MINLV-MIN,KXWNBAGAME-25AUG02MINLV,Minnesota,finalized,yes,1.0,2025-08-03 16:14:33.171752+00:00,2025-08-03 16:09:33.114580+00:00,Minnesota
KXWNBAGAME-25AUG03GSLV-GS,KXWNBAGAME-25AUG03GSLV,Golden State,finalized,no,0.0,2025-08-04 00:11:42.171743+00:00,2025-08-04 00:06:42.153157+00:00,Las Vegas
KXWNBAGAME-25AUG03GSLV-LV,KXWNBAGAME-25AUG03GSLV,Las Vegas,finalized,yes,1.0,2025-08-04 00:11:42.171743+00:00,2025-08-04 00:06:42.153157+00:00,Las Vegas
KXWNBAGAME-25AUG03INDSEA-IND,KXWNBAGAME-25AUG03INDSEA,Indiana,finalized,yes,1.0,2025-08-03 21:21:47.171777+00:00,2025-08-03 21:16:47.295357+00:00,Indiana
KXWNBAGAME-25AUG03INDSEA-SEA,KXWNBAGAME-25AUG03INDSEA,Seattle,finalized,no,0.0,2025-08-03 21:21:47.171777+00:00,2025-08-03 21:16:47.295357+00:00,Indiana
KXWNBAGAME-25AUG03NYCONN-CONN,KXWNBAGAME-25AUG03NYCONN,Connecticut,finalized,no,0.0,2025-08-03 19:17:57.245380+00:00,2025-08-03 19:12:57.333952+00:00,New York
KXWNBAGAME-25AUG03NYCONN-NY,KXWNBAGAME-25AUG03NYCONN,New York,finalized,yes,1.0,2025-08-03 19:17:57.245380+00:00,2025-08-03 19:12:57.333952+00:00,New York
KXWNBAGAME-25AUG03PHXCHI-CHI,KXWNBAGAME-25AUG03PHXCHI,Chicago,finalized,no,0.0,2025-08-04 00:03:33.171692+00:00,2025-08-03 23:58:33.576614+00:00,Phoenix
KXWNBAGAME-25AUG03PHXCHI-PHX,KXWNBAGAME-25AUG03PHXCHI,Phoenix,finalized,yes,1.0,2025-08-04 00:03:33.171692+00:00,2025-08-03 23:58:33.576614+00:00,Phoenix
KXWNBAGAME-25AUG03WSHATL-ATL,KXWNBAGAME-25AUG03WSHATL,Atlanta,finalized,yes,1.0,2025-08-03 21:21:50.781230+00:00,2025-08-03 21:16:48.587041+00:00,Atlanta
KXWNBAGAME-25AUG03WSHATL-WSH,KXWNBAGAME-25AUG03WSHATL,Washington,finalized,no,0.0,2025-08-03 21:21:50.781230+00:00,2025-08-03 21:16:48.587041+00:00,Atlanta
KXWNBAGAME-25AUG05CONNPHX-CONN,KXWNBAGAME-25AUG05CONNPHX,Connecticut,finalized,no,0.0,2025-08-06 04:20:33.591652+00:00,2025-08-06 04:15:33.799318+00:00,Phoenix
KXWNBAGAME-25AUG05CONNPHX-PHX,KXWNBAGAME-25AUG05CONNPHX,Phoenix,finalized,yes,1.0,2025-08-06 04:20:33.591652+00:00,2025-08-06 04:15:33.799318+00:00,Phoenix
KXWNBAGAME-25AUG05DALNY-DAL,KXWNBAGAME-25AUG05DALNY,Dallas,finalized,no,0.0,2025-08-06 01:10:56.581523+00:00,2025-08-06 01:05:56.123873+00:00,New York
KXWNBAGAME-25AUG05DALNY-NY,KXWNBAGAME-25AUG05DALNY,New York,finalized,yes,1.0,2025-08-06 01:10:56.581523+00:00,2025-08-06 01:05:56.123873+00:00,New York
KXWNBAGAME-25AUG05INDLA-IND,KXWNBAGAME-25AUG05INDLA,Indiana,finalized,no,0.0,2025-08-06 04:21:52.570918+00:00,2025-08-06 04:16:52.418859+00:00,Los Angeles
KXWNBAGAME-25AUG05INDLA-LA,KXWNBAGAME-25AUG05INDLA,Los Angeles,finalized,yes,1.0,2025-08-06 04:21:52.570918+00:00,2025-08-06 04:16:52.418859+00:00,Los Angeles
