event_ticker,game_id,game_date,open_time,close_time,status,team_a,team_a_id,team_b,team_b_id,winner,game_label,title
KXWNBAGAME-25MAY22INDATL,d1bd5e4c-1d9e-47c6-b24e-52544a1a2c13,2025-05-22,2025-05-22T00:00:00Z,2025-05-23T04:16:28.48545Z,finalized,Indiana,f073a15f-0486-4179-b0a3-dfd0294eb595,Atlanta,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Indiana,,Indiana vs Atlanta Winner?
KXWNBAGAME-25MAY23WSHLV,b8786c5b-6a05-49e0-9ba2-0bc7db3e8a60,2025-05-22,2025-05-22T13:43:00Z,2025-05-24T04:16:29.822181Z,finalized,Washington,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Las Vegas,171b097d-01db-4ae8-9d56-035689402ec6,Las Vegas,,Washington vs Las Vegas Winner?
KXWNBAGAME-25MAY23GSLA,a35a38a3-fdb6-40a3-86f1-842d77ac32bf,2025-05-22,2025-05-22T13:43:00Z,2025-05-24T04:12:25.723205Z,finalized,Golden State,4f57ec40-0d35-4b59-bea0-9d040f0d2292,Los Angeles,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Golden State,,Golden State vs Los Angeles Winner?
KXWNBAGAME-25MAY22NYCHI,5aab29d7-6671-4deb-a42c-c71a01e82f9f,2025-05-22,2025-05-22T00:00:00Z,2025-05-23T04:16:29.337322Z,finalized,New York,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Chicago,3c409388-ab73-4c7f-953d-3a71062240f6,New York,,New York vs Chicago Winner?
KXWNBAGAME-25MAY23CONNMIN,92c4a40c-74f4-4a28-be37-18237fca81a5,2025-05-22,2025-05-22T13:43:00Z,2025-05-24T01:42:29.419026Z,finalized,Connecticut,a015b02d-845c-40c1-8ef4-844984f47e4d,Minnesota,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Minnesota,,Connecticut vs Minnesota Winner?
KXWNBAGAME-25MAY23PHXSEA,10582ee6-a493-4e18-9878-6203b5e8065d,2025-05-22,2025-05-22T13:43:00Z,2025-05-24T04:06:11.856712Z,finalized,Phoenix,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Seattle,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Seattle,,Phoenix vs Seattle Winner?
KXWNBAGAME-25MAY24DALATL,2eee580f-c783-4be6-baeb-d082df2690a2,2025-05-23,2025-05-23T15:12:00Z,2025-05-24T21:08:31.376613Z,finalized,Dallas,5f0b5caf-708b-4300-92f2-53b51d83ec06,Atlanta,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Atlanta,,Dallas vs Atlanta Winner?
KXWNBAGAME-25MAY24NYIND,1af6c1e1-fa3c-4263-8c71-da93fc3e0406,2025-05-23,2025-05-23T15:12:00Z,2025-05-24T19:22:11.660563Z,finalized,New York,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Indiana,f073a15f-0486-4179-b0a3-dfd0294eb595,New York,,New York vs Indiana Winner?
KXWNBAGAME-25MAY25LVSEA,5a9dfeb9-11f2-42a8-97c9-81e381c4a9fa,2025-05-24,2025-05-24T14:46:00Z,2025-05-26T00:04:24.929665Z,finalized,Las Vegas,171b097d-01db-4ae8-9d56-035689402ec6,Seattle,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Seattle,,Las Vegas vs Seattle Winner?
KXWNBAGAME-25MAY25WSHPHX,bbd4ae77-444a-4dfe-ad87-70233844aa1d,2025-05-24,2025-05-24T14:46:00Z,2025-05-26T00:18:12.201992Z,finalized,Washington,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Phoenix,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Phoenix,,Washington vs Phoenix Winner?
KXWNBAGAME-25MAY25CHILA,d93c9688-bbdf-4066-ac6b-159c3c6dd32d,2025-05-24,2025-05-24T14:46:00Z,2025-05-26T00:12:12.773518Z,finalized,Chicago,3c409388-ab73-4c7f-953d-3a71062240f6,Los Angeles,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Los Angeles,,Chicago vs Los Angeles Winner?
KXWNBAGAME-25MAY25CONNATL,b0d98920-a05f-481d-9dea-7046f3e6fc33,2025-05-24,2025-05-24T14:46:00Z,2025-05-25T21:04:12.737902Z,finalized,Connecticut,a015b02d-845c-40c1-8ef4-844984f47e4d,Atlanta,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Atlanta,,Connecticut vs Atlanta Winner?
KXWNBAGAME-25MAY27GSNY,5f3d74e1-8cdd-4616-aedf-f1e90dc75db0,2025-05-26,2025-05-26T12:05:00Z,2025-05-28T01:03:18.164748Z,finalized,Golden State,4f57ec40-0d35-4b59-bea0-9d040f0d2292,New York,08ed8274-e29f-4248-bc2e-83cc8ed18d75,New York,,Golden State vs New York Winner?
KXWNBAGAME-25MAY27DALCONN,8a594783-4b88-43cd-b381-a8660e3a0766,2025-05-26,2025-05-26T12:05:00Z,2025-05-28T01:16:31.821193Z,finalized,Dallas,5f0b5caf-708b-4300-92f2-53b51d83ec06,Connecticut,a015b02d-845c-40c1-8ef4-844984f47e4d,Dallas,,Dallas vs Connecticut Winner?
KXWNBAGAME-25MAY27SEAMIN,ee675eed-ef15-494e-a8f4-e0202373e26c,2025-05-26,2025-05-26T12:05:00Z,2025-05-28T02:24:36.876184Z,finalized,Seattle,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Minnesota,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Minnesota,,Seattle vs Minnesota Winner?
