feature,coefficient,abs_coef,block
base_margin,0.9182622634292994,0.9182622634292994,elo
away_is_b2b_pre,0.32770239149909675,0.32770239149909675,schedule
away_p5_played_last_game_pre,-0.3032497054409714,0.3032497054409714,player
away_p1_q_pre,-0.2933239969626859,0.2933239969626859,player
away_games_last_4_days_pre,0.2836330210335407,0.2836330210335407,schedule
home_p1_q_pre,0.2626260478018127,0.2626260478018127,player
away_p3_played_last_game_pre,-0.23183629509149287,0.23183629509149287,player
away_p6_played_last_game_pre,-0.2259373330287046,0.2259373330287046,player
away_p2_q_pre,-0.2212361095756628,0.2212361095756628,player
away_p4_played_last_game_pre,-0.19059052320359487,0.19059052320359487,player
home_p4_played_last_game_pre,0.16584101798618925,0.16584101798618925,player
away_p2_played_last_game_pre,0.16385521755873303,0.16385521755873303,player
home_p7_played_last_game_pre,-0.16161350232989155,0.16161350232989155,player
away_p5_consec_dnps_pre,0.15986651806797547,0.15986651806797547,player
away_p2_consec_dnps_pre,-0.15555523049983147,0.15555523049983147,player
home_p5_injury_present_flag_pre,-0.1530199531642018,0.1530199531642018,player
away_p6_days_since_last_dnp_pre,0.1463914727249015,0.1463914727249015,player
home_p2_consec_dnps_pre,-0.1436269323660666,0.1436269323660666,player
away_p3_injury_present_flag_pre,-0.14173599740830242,0.14173599740830242,player
away_p6_consec_dnps_pre,-0.13600622130816808,0.13600622130816808,player
away_p5_injury_present_flag_pre,-0.13413719683118197,0.13413719683118197,player
away_p2_injury_present_flag_pre,-0.1336656832400308,0.1336656832400308,player
away_p3_q_pre,-0.12722381159991925,0.12722381159991925,player
home_games_last_7_days_pre,-0.1265066764659667,0.1265066764659667,schedule
home_p2_q_pre,0.11386541789367981,0.11386541789367981,player
home_p6_injury_present_flag_pre,-0.11169315462793544,0.11169315462793544,player
home_p7_days_since_last_dnp_pre,0.11153224982776597,0.11153224982776597,player
home_games_last_4_days_pre,-0.11008972026918738,0.11008972026918738,schedule
home_p7_consec_dnps_pre,0.10892242144205384,0.10892242144205384,player
home_p2_played_last_game_pre,0.10881227458592989,0.10881227458592989,player
away_p4_days_since_last_dnp_pre,0.10739439336515086,0.10739439336515086,player
home_is_b2b_pre,-0.10735344329315681,0.10735344329315681,schedule
