season_year,player_id,player_name,team_id,game_id,scheduled,game_date,not_playing_reason,not_playing_description,issue_class,tokens,matched_to_update,matched_update_event_date,matched_injury_id,matched_desc,matched_status,evidence_dt,source,episode_id
2026,184cc47d-af49-47fb-bcec-c0df1de4813f,Isabelle Harrison,4e4f726e-a015-4306-91a7-28e8576c7868,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,2026-05-08,Inactive - Injury/Illness,Right Hand,illness,hand|illness,False,,,,,2026-05-08 00:00:00+00:00,dnp_injury,"184cc47d-af49-47fb-bcec-c0df1de4813f_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,1ed5a0c9-ad93-4996-acca-94c7e301bb79,Azura Stevens,3c409388-ab73-4c7f-953d-3a71062240f6,7def09d1-d666-4e08-a6d4-213059a7ffe9,2026-05-10 01:00:00+00:00,2026-05-10,Inactive - Injury/Illness,Left knee,illness,illness|knee,False,,,,,2026-05-10 00:00:00+00:00,dnp_injury,"1ed5a0c9-ad93-4996-acca-94c7e301bb79_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,206872ae-560b-4199-94f4-a44106b0baff,Monique Billings,f073a15f-0486-4179-b0a3-dfd0294eb595,1e37cd3d-41a4-417d-bd13-500d9267312e,2026-05-09 17:00:00+00:00,2026-05-09,DND - Injury/Illness,Ankle,illness,ankle|illness,False,,,,,2026-05-09 00:00:00+00:00,dnp_injury,"206872ae-560b-4199-94f4-a44106b0baff_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,20bc3af4-52f9-4d5e-8247-2a62d77c143b,Sug Sutton,d54283cc-c5ec-4dbd-bb61-166f217e3864,7def09d1-d666-4e08-a6d4-213059a7ffe9,2026-05-10 01:00:00+00:00,2026-05-10,Inactive - Injury/Illness,Right Knee,illness,illness|knee,False,,,,,2026-05-10 00:00:00+00:00,dnp_injury,"20bc3af4-52f9-4d5e-8247-2a62d77c143b_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,2199ae2c-7588-4610-9deb-a1b5e8025d43,Sabrina Ionescu,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08 23:30:00+00:00,2026-05-08,DND - Injury/Illness,L. Foot,illness,foot|illness,False,,,,,2026-05-08 00:00:00+00:00,dnp_injury,"2199ae2c-7588-4610-9deb-a1b5e8025d43_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,21f994d2-1cc9-4d83-b278-abc3aaf4f63d,Napheesa Collier,6f017f37-be96-4bdc-b6d3-0a0429c72e89,f88e8fd5-d27c-4709-844b-e24b33649f45,2026-05-10 00:00:00+00:00,2026-05-10,DND - Injury/Illness,Left Ankle,illness,ankle|illness,False,,,,,2026-05-10 00:00:00+00:00,dnp_injury,"21f994d2-1cc9-4d83-b278-abc3aaf4f63d_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,2026-05-08,Inactive - Injury/Illness,Left Elbow Strain,illness,elbow|illness,True,2026-05-07,f94c23fa-a76e-4b0f-817b-a911537e8c65,Elbow,Out,2026-05-08 00:00:00+00:00,dnp_injury,"26c2f575-8b8d-44de-a3ca-ccbfac38b598_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,2026-05-10,DNP – Injury/Illness,Left Elbow Sprain,illness,elbow|illness,False,,,,,2026-05-10 00:00:00+00:00,dnp_injury,"26c2f575-8b8d-44de-a3ca-ccbfac38b598_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,29a8b1d2-db3b-4035-a635-9d559bc51a8a,Katie Lou Samuelson,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,8f658fb4-cc4e-4499-a66f-025474c73ba8,2026-05-09 02:00:00+00:00,2026-05-09,DND - Injury/Illness,Right Knee,illness,illness|knee,True,2026-05-07,f0a59897-c8ef-4d37-873d-0af8452b675b,Knee,Out,2026-05-09 00:00:00+00:00,dnp_injury,"29a8b1d2-db3b-4035-a635-9d559bc51a8a_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
2026,29a8b1d2-db3b-4035-a635-9d559bc51a8a,Katie Lou Samuelson,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,235de568-8156-4dd4-835a-b696ff560f45,2026-05-10 17:00:00+00:00,2026-05-10,DND - Injury/Illness,Right Knee,illness,illness|knee,False,,,,,2026-05-10 00:00:00+00:00,dnp_injury,"29a8b1d2-db3b-4035-a635-9d559bc51a8a_6     1
19    1
20    1
21    1
22    1
0     1
23    1
24    1
14    1
25    1
26    1
12    1
27    1
28    1
29    1
30    1
31    1
32    1
8     1
33    1
16    1
17    1
18    1
34    1
5     1
35    1
36    1
37    1
38    1
39    1
2     1
13    1
3     1
7     1
40    1
41    1
42    1
11    1
1     1
15    1
43    1
44    1
45    1
9     1
46    1
47    1
48    1
10    1
4     1
Name: episode_num, dtype: object"
