asof_date,team_id,team_name,player_id,player_name,injury_id,desc,status,comment,start_date,update_date,bronze_file,event_date,issue_class,tokens,event_dt,source
2026-05-07,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Phoenix Mercury,150e2dfb-8a7c-46ef-b729-6311f7461b66,Valeriane Ayayi,60b5d459-a70e-43a2-8ad1-1bc007afe12a,Not Injury Related,Out,The Phoenix Mercury temporarily suspended F Valeriane Ayayi's contract due to FIBA clearance.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,,2026-05-07 00:00:00+00:00,daily_update
2026-05-08,4e4f726e-a015-4306-91a7-28e8576c7868,,184cc47d-af49-47fb-bcec-c0df1de4813f,Isabelle Harrison,DNP_184cc47d-af49-47fb-bcec-c0df1de4813f_61500e2a-18d1-4bb9-82ce-ab3010c4ce53,Right Hand,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: Right Hand,2026-05-08,2026-05-08,,2026-05-08,illness,hand|illness,,dnp_injury_unmatched
2026-05-10,3c409388-ab73-4c7f-953d-3a71062240f6,,1ed5a0c9-ad93-4996-acca-94c7e301bb79,Azura Stevens,DNP_1ed5a0c9-ad93-4996-acca-94c7e301bb79_7def09d1-d666-4e08-a6d4-213059a7ffe9,Left knee,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: Left knee,2026-05-10,2026-05-10,,2026-05-10,illness,illness|knee,,dnp_injury_unmatched
2026-05-09,f073a15f-0486-4179-b0a3-dfd0294eb595,,206872ae-560b-4199-94f4-a44106b0baff,Monique Billings,DNP_206872ae-560b-4199-94f4-a44106b0baff_1e37cd3d-41a4-417d-bd13-500d9267312e,Ankle,Out,SYNTH_FROM_DNP: DND - Injury/Illness :: Ankle,2026-05-09,2026-05-09,,2026-05-09,illness,ankle|illness,,dnp_injury_unmatched
2026-05-10,d54283cc-c5ec-4dbd-bb61-166f217e3864,,20bc3af4-52f9-4d5e-8247-2a62d77c143b,Sug Sutton,DNP_20bc3af4-52f9-4d5e-8247-2a62d77c143b_7def09d1-d666-4e08-a6d4-213059a7ffe9,Right Knee,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: Right Knee,2026-05-10,2026-05-10,,2026-05-10,illness,illness|knee,,dnp_injury_unmatched
2026-05-04,08ed8274-e29f-4248-bc2e-83cc8ed18d75,New York Liberty,2199ae2c-7588-4610-9deb-a1b5e8025d43,Sabrina Ionescu,3e936673-1816-4b11-bbbd-492a6d6900d2,Ankle,Out,The Liberty said on Monday (May 4) that Ionescu will miss at least 2 weeks.,2026-05-04,2026-05-04,daily_injuries__2026-05-04__20260510T001545Z.json,2026-05-04,injury_medical,ankle|illness,2026-05-04 00:00:00+00:00,daily_update
2026-05-08,08ed8274-e29f-4248-bc2e-83cc8ed18d75,,2199ae2c-7588-4610-9deb-a1b5e8025d43,Sabrina Ionescu,DNP_2199ae2c-7588-4610-9deb-a1b5e8025d43_a01c0aa0-885e-4258-82c5-695c2ada9546,L. Foot,Out,SYNTH_FROM_DNP: DND - Injury/Illness :: L. Foot,2026-05-08,2026-05-08,,2026-05-08,illness,foot|illness,,dnp_injury_unmatched
2026-05-10,6f017f37-be96-4bdc-b6d3-0a0429c72e89,,21f994d2-1cc9-4d83-b278-abc3aaf4f63d,Napheesa Collier,DNP_21f994d2-1cc9-4d83-b278-abc3aaf4f63d_f88e8fd5-d27c-4709-844b-e24b33649f45,Left Ankle,Out,SYNTH_FROM_DNP: DND - Injury/Illness :: Left Ankle,2026-05-10,2026-05-10,,2026-05-10,illness,ankle|illness,,dnp_injury_unmatched
2026-05-07,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Washington Mystics,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,f94c23fa-a76e-4b0f-817b-a911537e8c65,Elbow,Out,The Mystics said on Thursday (May 7) that McMahon will miss at least 1 week.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,elbow|illness,2026-05-07 00:00:00+00:00,daily_update
2026-05-10,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,DNP_26c2f575-8b8d-44de-a3ca-ccbfac38b598_1ef40916-c578-4316-b5d3-6c626d6dd895,Left Elbow Sprain,Out,SYNTH_FROM_DNP: DNP – Injury/Illness :: Left Elbow Sprain,2026-05-10,2026-05-10,,2026-05-10,illness,elbow|illness,,dnp_injury_unmatched
