model,entry_window,edge_min,norm_min,sizing,n_trades,hit_rate,mean_edge,total_fees,total_pnl,median_lead_h,roi,final_bankroll,total_return,max_drawdown,mean_kelly_f,mean_wager
elo,half_life,0.05,0.0,fixed,219,0.4155,0.1081,10.81,30.8,15.0,0.1407,,,,,
elo,half_life,0.05,0.0,half_kelly,219,0.4155,0.1081,281.92,261.66,15.0,,361.66,2.6166,758.92,0.1832,32.93
elo,half_life,0.05,0.0,full_kelly,219,0.4155,0.1081,149.76,-82.99,15.0,,17.01,-0.8299,622.78,0.1832,16.86
elo,half_life,0.05,0.1,fixed,205,0.3902,0.1123,10.44,29.07,15.2,0.1418,,,,,
elo,half_life,0.05,0.1,half_kelly,205,0.3902,0.1123,271.47,223.01,15.2,,323.01,2.2301,728.62,0.1836,32.59
elo,half_life,0.05,0.1,full_kelly,205,0.3902,0.1123,148.21,-85.86,15.2,,14.14,-0.8586,609.31,0.1836,17.45
elo,half_life,0.05,0.2,fixed,178,0.3652,0.1218,9.54,33.23,14.8,0.1867,,,,,
elo,half_life,0.05,0.2,half_kelly,178,0.3652,0.1218,349.06,397.42,14.8,,497.42,3.9742,1039.12,0.1891,46.05
elo,half_life,0.05,0.2,full_kelly,178,0.3652,0.1218,245.15,-64.99,14.8,,35.01,-0.6499,1358.64,0.1891,31.35
elo,half_life,0.05,0.25,fixed,155,0.3419,0.1273,8.63,30.89,14.8,0.1993,,,,,
elo,half_life,0.05,0.25,half_kelly,155,0.3419,0.1273,366.31,416.97,14.8,,516.97,4.1697,1096.1,0.189,53.08
elo,half_life,0.05,0.25,full_kelly,155,0.3419,0.1273,339.69,-53.09,14.8,,46.91,-0.5309,1730.96,0.189,48.45
elo,half_life,0.1,0.0,fixed,127,0.4016,0.1449,6.46,17.59,14.0,0.1385,,,,,
elo,half_life,0.1,0.0,half_kelly,127,0.4016,0.1449,167.11,194.73,14.0,,294.73,1.9473,416.44,0.2333,32.38
elo,half_life,0.1,0.0,full_kelly,127,0.4016,0.1449,99.03,-79.91,14.0,,20.09,-0.7991,316.34,0.2333,18.55
elo,half_life,0.1,0.1,fixed,127,0.4016,0.1449,6.46,17.59,14.0,0.1385,,,,,
elo,half_life,0.1,0.1,half_kelly,127,0.4016,0.1449,167.11,194.73,14.0,,294.73,1.9473,416.44,0.2333,32.38
elo,half_life,0.1,0.1,full_kelly,127,0.4016,0.1449,99.03,-79.91,14.0,,20.09,-0.7991,316.34,0.2333,18.55
elo,half_life,0.1,0.2,fixed,125,0.392,0.1468,6.41,16.93,13.8,0.1354,,,,,
elo,half_life,0.1,0.2,half_kelly,125,0.392,0.1468,149.05,147.32,13.8,,247.32,1.4732,374.59,0.2337,28.52
elo,half_life,0.1,0.2,full_kelly,125,0.392,0.1468,82.75,-86.61,13.8,,13.39,-0.8661,258.19,0.2337,14.96
elo,half_life,0.1,0.25,fixed,112,0.3661,0.1521,5.98,15.78,13.8,0.1409,,,,,
elo,half_life,0.1,0.25,half_kelly,112,0.3661,0.1521,142.78,135.42,13.8,,235.42,1.3542,364.62,0.2314,29.05
elo,half_life,0.1,0.25,full_kelly,112,0.3661,0.1521,90.93,-85.63,13.8,,14.37,-0.8563,279.06,0.2314,17.68
