rank,max_depth,min_child_weight,gamma,colsample_bytree,subsample,reg_lambda,reg_alpha,learning_rate,mean_log_loss,mean_best_round,min_best_round
1,6,3,1.0,0.6,0.8,1.0,0.0,0.03,0.597487,42,2
2,6,3,0.1,0.6,0.8,1.0,0.0,0.02,0.597870,64,39
3,6,3,0.1,0.6,0.8,0.5,0.0,0.01,0.598126,104,39
4,8,3,0.1,0.6,0.8,1.0,0.0,0.02,0.598152,57,29
5,7,3,0.5,0.6,0.8,1.0,0.0,0.02,0.598200,58,1
6,6,3,1.0,0.6,0.8,1.0,0.0,0.02,0.598233,62,29
7,8,3,0.0,0.6,0.8,2.0,0.0,0.02,0.598389,58,21
8,6,3,0.0,0.6,0.8,1.0,0.0,0.02,0.598406,67,39
9,6,2,0.1,0.6,0.8,0.5,0.0,0.03,0.598439,26,4
10,6,2,1.0,0.6,0.8,1.0,0.0,0.03,0.598596,50,2
