period,model,log_loss,brier,accuracy,n_games
OOF 2020–2024,elo,0.6021634390757615,0.2072404165350201,0.6777081468218442,1117
OOF 2020–2024,full,0.5993936099064925,0.2054962836712383,0.6947179946284691,1117
OOF 2020–2024,no_form,0.6021793701789959,0.20693350123259555,0.6830796777081468,1117
OOF 2020–2024,no_player,0.6024881647654656,0.20739012401623166,0.6777081468218442,1117
OOF 2020–2024,no_schedule,0.6017105068231677,0.2068942823983939,0.6857654431512982,1117
OOF 2020–2024,no_style,0.6043448724374649,0.20817823168024105,0.6830796777081468,1117
2025 Holdout,elo,0.6150979432100196,0.21316524892848046,0.667741935483871,310
2025 Holdout,full,0.6121478496645066,0.21123245391564083,0.6741935483870968,310
2025 Holdout,no_form,0.6251367084703595,0.21579990050394418,0.6548387096774193,310
2025 Holdout,no_player,0.6144328386392027,0.21284437559462624,0.6612903225806451,310
2025 Holdout,no_schedule,0.625872413595886,0.21482780660458012,0.6709677419354839,310
2025 Holdout,no_style,0.6171087955148237,0.21369575484091277,0.6580645161290323,310
