model,bin_lo,bin_hi,mean_pred,observed_rate,n
elo,0.0,0.1,0.09003968873484551,0.16666666666666666,6
elo,0.1,0.2,0.1576888298967084,0.2222222222222222,63
elo,0.2,0.30000000000000004,0.25395537373584604,0.16326530612244897,98
elo,0.30000000000000004,0.4,0.35152126315282506,0.375886524822695,141
elo,0.4,0.5,0.4510836904741801,0.4444444444444444,171
elo,0.5,0.6000000000000001,0.5511945360038158,0.5692307692307692,195
elo,0.6000000000000001,0.7000000000000001,0.6454329081092692,0.6436781609195402,174
elo,0.7000000000000001,0.8,0.75310977083179,0.7535211267605634,142
elo,0.8,0.9,0.8398027988732404,0.8495575221238938,113
elo,0.9,1.0,0.9193540880739554,0.8571428571428571,14
xgb_no_elo,0.1,0.2,0.17009510766518743,0.3157894736842105,19
xgb_no_elo,0.2,0.30000000000000004,0.2609695266274845,0.19117647058823528,68
xgb_no_elo,0.30000000000000004,0.4,0.3522943610908421,0.2595419847328244,131
xgb_no_elo,0.4,0.5,0.4511435583480814,0.4530386740331492,181
xgb_no_elo,0.5,0.6000000000000001,0.5478926686679616,0.5339366515837104,221
xgb_no_elo,0.6000000000000001,0.7000000000000001,0.6477598595381969,0.5970149253731343,201
xgb_no_elo,0.7000000000000001,0.8,0.747540072518952,0.7142857142857143,196
xgb_no_elo,0.8,0.9,0.8382804247927158,0.8404255319148937,94
xgb_no_elo,0.9,1.0,0.9158524771531423,1.0,6
xgb_with_elo,0.0,0.1,0.08658399507403373,0.1,10
xgb_with_elo,0.1,0.2,0.15889250859618187,0.20689655172413793,58
xgb_with_elo,0.2,0.30000000000000004,0.2515599980790128,0.17204301075268819,93
xgb_with_elo,0.30000000000000004,0.4,0.3535631351227308,0.3722627737226277,137
xgb_with_elo,0.4,0.5,0.4523945193080341,0.38235294117647056,170
xgb_with_elo,0.5,0.6000000000000001,0.5532996374801551,0.6145251396648045,179
xgb_with_elo,0.6000000000000001,0.7000000000000001,0.6508351511129454,0.6312849162011173,179
xgb_with_elo,0.7000000000000001,0.8,0.7515843604292188,0.7214285714285714,140
xgb_with_elo,0.8,0.9,0.8442226415500045,0.859375,128
xgb_with_elo,0.9,1.0,0.9208111322444418,0.8260869565217391,23
