period,model,log_loss,brier,accuracy,n_games
2025 Holdout,elo,0.6150979432100196,0.21316524892848046,0.667741935483871,310
2025 Holdout,logreg_no_elo,0.6991224238933297,0.24281193194036232,0.6419354838709678,310
2025 Holdout,xgb_no_elo,0.6327285759195557,0.2188447490210619,0.667741935483871,310
2025 Holdout,logreg_with_elo,0.6684371846584655,0.23316373396119786,0.6483870967741936,310
2025 Holdout,xgb_with_elo,0.6121478496645066,0.21123245391564083,0.6741935483870968,310
OOF 2020–2024,elo,0.6021634390757615,0.2072404165350201,0.6777081468218442,1117
OOF 2020–2024,logreg_no_elo,0.7875476539095047,0.23607286831287946,0.6436884512085944,1117
OOF 2020–2024,xgb_no_elo,0.6228047972531856,0.21654823142442592,0.6508504923903312,1117
OOF 2020–2024,logreg_with_elo,0.734251955170381,0.22849226165398798,0.6589077887197852,1117
OOF 2020–2024,xgb_with_elo,0.5993936099064925,0.2054962836712383,0.6947179946284691,1117
