model,fold_year,log_loss,brier,accuracy,n_games
elo,2020,0.5943077765008344,0.2022095672497303,0.7210884353741497,147
logreg_no_elo,2020,1.1783726273372441,0.27637217189324587,0.6530612244897959,147
xgb_no_elo,2020,0.6213272059033784,0.2163185226076125,0.6394557823129252,147
logreg_with_elo,2020,1.074460364232961,0.27230521779491423,0.6462585034013606,147
xgb_with_elo,2020,0.5952431497982628,0.20263236270011872,0.7210884353741497,147
elo,2021,0.6066943154958684,0.21111268861971197,0.645933014354067,209
logreg_no_elo,2021,0.7020222499391953,0.23001934578113153,0.6363636363636364,209
xgb_no_elo,2021,0.6320790920473341,0.22169421893932512,0.5980861244019139,209
logreg_with_elo,2021,0.6694254414878043,0.22554910058730535,0.6411483253588517,209
xgb_with_elo,2021,0.605204274844837,0.21044612528234172,0.6650717703349283,209
elo,2022,0.6129376568522522,0.21299561361946143,0.6569037656903766,239
logreg_no_elo,2022,0.8971180065427694,0.2512781475188652,0.6276150627615062,239
xgb_no_elo,2022,0.6470500940283033,0.22849137027591734,0.6317991631799164,239
logreg_with_elo,2022,0.8091308749696894,0.24006677510961535,0.6317991631799164,239
xgb_with_elo,2022,0.6096517562587995,0.21139554251881684,0.6694560669456067,239
elo,2023,0.5991234060938158,0.2058875867059258,0.6807692307692308,260
logreg_no_elo,2023,0.680490455743698,0.22302383025647476,0.6538461538461539,260
xgb_no_elo,2023,0.6194992939637003,0.2145254785726681,0.6615384615384615,260
logreg_with_elo,2023,0.6286303628572606,0.2115000780142437,0.6730769230769231,260
xgb_with_elo,2023,0.5984058883326775,0.20512353718353923,0.7076923076923077,260
elo,2024,0.5961451175239925,0.20306665177021105,0.6946564885496184,262
logreg_no_elo,2024,0.6427808431449109,0.21737010780622332,0.648854961832061,262
xgb_no_elo,2024,0.5973990081022609,0.20368472517025896,0.7061068702290076,262
logreg_with_elo,2024,0.6315941589750985,0.2125620140992517,0.6908396946564885,262
xgb_with_elo,2024,0.588709637749188,0.19814311843560642,0.7137404580152672,262
