draw,terminal_wealth_ideal,terminal_wealth_constrained
0,19669.484612223383,29421.401109485592
1,335.27039788569493,1136.7192220399595
2,1902.5798951620454,1489.4687472647508
3,16957.09719086219,4908.155819472028
4,1414281.9257188477,219566.81369070482
5,103617.37278270119,59444.273515510766
6,3529.4182609123304,9427.368157765577
7,61107.35746582021,95729.3132536602
8,369438.29599820945,395311.436688354
9,2448.435876826843,2681.7606325457423
10,23599.143937086108,37875.45687615309
11,614423.1263314463,282691.0194870897
12,1676252.8456659846,905973.9069592722
13,44476.70301791593,42390.090657562425
14,7260.514586523172,3400.725501200288
15,16182.572045646213,30229.538087268425
16,42181.961982963054,32114.318665332532
17,55977.20870998158,70222.24238380406
18,364116.4961763507,41679.851691447584
19,123614.18054082387,19090.673026482567
20,14953.594324050493,23893.7025768196
21,49568.27623593554,64901.11759916119
22,781309.5876855999,383675.7225682206
23,45696.55712843654,26041.51832596526
24,2093639.060232476,371734.3486969659
25,21185.311842906016,12619.868185221407
26,18605.209042770293,10007.447421531586
27,8940.543040076604,18435.327766205497
28,1194.299093457181,2259.429866193945
29,19321.7815299277,6254.848151336863
30,73967.68128799977,39805.211176759934
31,130878.04551572115,104104.7502260832
32,1122161.7014081883,550685.2584550855
33,237827.6734425825,133562.7667746759
34,8844.181335933446,7657.866134617088
35,38533.00100644323,29793.018381919195
36,16100.497529069777,4275.503286752953
37,90637.8669587986,70546.2945008907
38,686850.774706839,477256.89323583065
39,28221.221574889656,21671.28081951575
40,1354669.4160350657,809247.3348522364
41,74343.0474797039,23593.450030398148
42,27376030.448981218,4052772.7139312727
43,218396.91854122697,127466.08262184804
44,149383.01657144396,52013.37121496201
45,11088.61647255034,21710.002143011297
46,1071143.7758862625,615314.9582734691
47,827947.1858725701,112363.0435214738
48,130447.70584433038,163773.83505197315
49,1776.4306586607624,2716.055627875623
50,441962.98428476794,80988.91884105459
51,15102.746941330262,23662.645190359868
52,112461.10770539475,83885.1501798704
53,3599.092745929119,6430.898617892572
54,30268.0554115097,32506.9347099619
55,8896.932537292014,10150.954657120343
56,7587.814412877266,5110.570646406824
57,65948.47842613762,56161.187031131965
58,48116.06743235687,90944.54212995035
59,37709.74306408787,53750.96142885831
60,8081.758283255272,20804.309700947055
61,12480.951240652636,22362.14425909136
62,15708.08807989757,45140.069739583785
63,23662.910869211013,25803.602870252547
64,31757.51716185124,100897.21203429095
65,8511.18603696547,12113.41099641125
66,1921.0002258691584,7094.441286465113
67,18256.51273569413,15789.471420156451
68,211498.41605505915,64300.768096247746
69,268980.783182653,345310.8247819011
70,9994.232280415576,11594.691194348325
71,676.5900946258738,5503.524339504753
72,200965.6500897212,474548.2926804796
73,25251.783227973705,29404.010805654092
74,381153.4719046718,151980.49272053115
75,25612.718411554917,25141.537244051367
76,18197.629109908943,7551.774343990714
77,17271.263272908654,38578.15569047106
78,16342.46868465712,32490.281395829592
79,25262514.81200468,1558427.204805352
80,21524.672549188974,13429.829043220301
81,677259.0882944254,275381.94241925824
82,52630.9233387204,219099.11906577376
83,1698103.7565720768,453657.5045815864
84,89418.58235279164,27369.12198910496
85,7908.413857881108,17282.205389341823
86,28443.892796541164,60980.61709350757
87,40759.539372640655,76930.3814310795
88,24839.89644988992,39221.664690349564
89,467196.72377261,97908.73912472362
90,32986.484467772134,36720.6408827882
91,613508.1733606791,228741.81316573487
92,906904.7428297368,641444.6192580571
93,58036.42907013613,105085.68475595351
94,7871.913725695844,5602.778708755683
95,112589.45406742464,29762.601235804133
96,1473339.6864622585,1695533.1584597197
97,6734.595340034264,10790.845891563156
98,112311.86288381036,86703.29825001526
99,44523.912137150604,15705.612897919644
100,42669.40432021275,25099.834296594727
101,929.0568954662784,854.7707440927147
102,290075.6152356437,192412.01261002762
103,392396.219394834,222183.12948354817
104,4135.032857471542,4329.247537444453
105,703646.525198977,194928.33155938765
106,3356.3914183309257,16710.297147966565
107,16065.857346147715,13514.137284324857
108,15214.305041943804,18753.9175976663
109,14274.908958877399,18469.329741963396
110,4083.0158764377543,6177.616809434914
111,3833.445100393914,2440.572898156553
112,22718.02035423426,25528.59507277477
113,108976.8710156542,39142.34810744937
114,16112.853623720113,35532.408328541096
115,34362.446934828884,23867.88508418838
