policy,month,n_trades,sum_log_ret,hit_rate,share_of_total,wealth_multiplier
static_12,2025-05,12,-0.13441315708874574,0.16666666666666666,-0.07743889712271737,0.874228796153846
static_12,2025-06,31,0.8038506710177911,0.41935483870967744,0.4631191675222255,2.234127275433757
static_12,2025-07,27,0.2815863216565309,0.4444444444444444,0.16222916466077314,1.3252303874665652
static_12,2025-08,29,0.9099032938219755,0.6896551724137931,0.5242188271448713,2.4840822956640563
static_12,2025-09,10,-0.2618486776976868,0.0,-0.15085779735508154,0.7696274766980837
static_12,2025-10,2,0.1366533585681313,0.5,0.07872953514992893,1.146430679262524
static_15,2025-05,12,-0.13441315708874574,0.16666666666666666,-0.07398834184851596,0.874228796153846
static_15,2025-06,31,0.8879379859189108,0.41935483870967744,0.4887695569792689,2.430113553069548
static_15,2025-07,27,0.2719143764245899,0.4444444444444444,0.1496765217942575,1.3124746177304298
static_15,2025-08,29,0.8783369259833546,0.6896551724137931,0.4834846092851156,2.406893533962748
static_15,2025-09,10,-0.24937175857000923,0.0,-0.13726783389412914,0.7792902117126167
static_15,2025-10,2,0.16227584654729707,0.5,0.08932548768400313,1.1761846430491634
static_20,2025-05,12,-0.13441315708874574,0.16666666666666666,-0.07353727455292608,0.874228796153846
static_20,2025-06,31,0.9004086301705947,0.41935483870967744,0.492612465035412,2.460608384574393
static_20,2025-07,27,0.27428961867648455,0.4444444444444444,0.1500635163439584,1.3155957681738037
static_20,2025-08,29,0.8722008559214923,0.6896551724137931,0.477180026095572,2.3921698854733395
static_20,2025-09,10,-0.24691869585957638,0.0,-0.13508891780354176,0.7812042060858958
static_20,2025-10,2,0.1622562282572751,0.5,0.08877018488152544,1.1761615685440585
uncapped,2025-05,12,-0.13441315708874574,0.16666666666666666,-0.07353727455292608,0.874228796153846
uncapped,2025-06,31,0.9004086301705947,0.41935483870967744,0.492612465035412,2.460608384574393
uncapped,2025-07,27,0.27428961867648455,0.4444444444444444,0.1500635163439584,1.3155957681738037
uncapped,2025-08,29,0.8722008559214923,0.6896551724137931,0.477180026095572,2.3921698854733395
uncapped,2025-09,10,-0.24691869585957638,0.0,-0.13508891780354176,0.7812042060858958
uncapped,2025-10,2,0.1622562282572751,0.5,0.08877018488152544,1.1761615685440585
phase_double_then_12,2025-05,12,-0.13441315708874574,0.16666666666666666,-0.07519292192155196,0.874228796153846
phase_double_then_12,2025-06,31,0.9050024220212205,0.41935483870967744,0.5062731798861585,2.4719379101362953
phase_double_then_12,2025-07,27,0.250339898637719,0.4444444444444444,0.14004424016085645,1.2844619293584987
phase_double_then_12,2025-08,29,0.8802118304050479,0.6896551724137931,0.49240491683693033,2.411410462373461
phase_double_then_12,2025-09,10,-0.2501193430545476,0.0,-0.1399208577546697,0.7787078441529866
phase_double_then_12,2025-10,2,0.13655560573888464,0.5,0.07639144279227643,1.146318617897338
phase_10k_then_12,2025-05,12,-0.13441315708874574,0.16666666666666666,-0.07519292192155196,0.874228796153846
phase_10k_then_12,2025-06,31,0.9050024220212205,0.41935483870967744,0.5062731798861585,2.4719379101362953
phase_10k_then_12,2025-07,27,0.250339898637719,0.4444444444444444,0.14004424016085645,1.2844619293584987
phase_10k_then_12,2025-08,29,0.8802118304050479,0.6896551724137931,0.49240491683693033,2.411410462373461
phase_10k_then_12,2025-09,10,-0.2501193430545476,0.0,-0.1399208577546697,0.7787078441529866
phase_10k_then_12,2025-10,2,0.13655560573888464,0.5,0.07639144279227643,1.146318617897338
edge_conditioned,2025-05,12,-0.13441315708874574,0.16666666666666666,-0.07353727455292608,0.874228796153846
edge_conditioned,2025-06,31,0.9004086301705947,0.41935483870967744,0.492612465035412,2.460608384574393
edge_conditioned,2025-07,27,0.27428961867648455,0.4444444444444444,0.1500635163439584,1.3155957681738037
edge_conditioned,2025-08,29,0.8722008559214923,0.6896551724137931,0.477180026095572,2.3921698854733395
edge_conditioned,2025-09,10,-0.24691869585957638,0.0,-0.13508891780354176,0.7812042060858958
edge_conditioned,2025-10,2,0.1622562282572751,0.5,0.08877018488152544,1.1761615685440585
