policy,label,trades,hit_rate,total_return,final_bankroll,max_drawdown,worst_first10_dd,max_consec_losses_first10,mean_log_return,std_log_return,sharpe_per_trade,mean_fill_rate,mean_realized_wager_pct,share_kelly_binding,share_portfolio_binding,share_rolling_binding,share_cumulative_binding,share_sweepshort_binding,scaling,scaling_label
static_12,Static 12%,111,0.43243243243243246,4.673077901793993,28365.389508969965,8537.871222652499,812.2724999999991,7,0.015637223516017984,0.08993344327562804,0.17387551222844896,1.0,0.0402211020582653,0.0990990990990991,0.036036036036036036,0.8558558558558559,0.009009009009009009,0.0,1.0,1.0x (2025 baseline)
static_15,Static 15%,111,0.43243243243243246,5.151403205047061,30757.016025235305,8602.220551141403,812.2724999999991,7,0.01636648846139998,0.0915622740615303,0.1787470727343624,1.0,0.039411027191095085,0.10810810810810811,0.018018018018018018,0.8648648648648649,0.009009009009009009,0.0,1.0,1.0x (2025 baseline)
static_20,Static 20%,111,0.43243243243243246,5.220333235016605,31101.666175083028,8615.633036587336,812.2724999999991,7,0.016466878198896615,0.09169737209808522,0.17957851814207518,1.0,0.03928998919902666,0.11711711711711711,0.0,0.8738738738738738,0.009009009009009009,0.0,1.0,1.0x (2025 baseline)
uncapped,Uncapped,111,0.43243243243243246,5.220333235016605,31101.666175083028,8615.633036587336,812.2724999999991,7,0.016466878198896615,0.09169737209808522,0.17957851814207518,1.0,0.03928998919902666,0.11711711711711711,0.0,0.8738738738738738,0.009009009009009009,0.0,1.0,1.0x (2025 baseline)
phase_double_then_12,20% until 2x bankroll → 12%,111,0.43243243243243246,4.974959124220796,29874.79562110398,8598.180164132049,812.2724999999991,7,0.016104299609545757,0.09102879075769411,0.17691435287120474,1.0,0.03880775624485884,0.10810810810810811,0.02702702702702703,0.8558558558558559,0.009009009009009009,0.0,1.0,1.0x (2025 baseline)
phase_10k_then_12,20% until $10k → 12%,111,0.43243243243243246,4.974959124220796,29874.79562110398,8598.180164132049,812.2724999999991,7,0.016104299609545757,0.09102879075769411,0.17691435287120474,1.0,0.03880775624485884,0.10810810810810811,0.02702702702702703,0.8558558558558559,0.009009009009009009,0.0,1.0,1.0x (2025 baseline)
edge_conditioned,Edge-conditioned 12/15/20,111,0.43243243243243246,5.220333235016605,31101.666175083028,8615.633036587336,812.2724999999991,7,0.016466878198896615,0.09169737209808522,0.17957851814207518,1.0,0.03928998919902666,0.11711711711711711,0.0,0.8738738738738738,0.009009009009009009,0.0,1.0,1.0x (2025 baseline)
static_12,Static 12%,111,0.43243243243243246,7.706631344557555,43533.156722787775,15623.895471976874,1592.7753993531337,7,0.019496260890343134,0.11364088157386791,0.171560274967335,1.0,0.0529115613340324,0.22522522522522523,0.14414414414414414,0.6216216216216216,0.009009009009009009,0.0,2.0,2.0x
static_15,Static 15%,111,0.43243243243243246,7.784310853919459,43921.5542695973,16519.12993216692,1624.5049999999997,7,0.01957628173687427,0.12037824603265455,0.16262308500128742,1.0,0.05534892630886822,0.3063063063063063,0.04504504504504504,0.6396396396396397,0.009009009009009009,0.0,2.0,2.0x
static_20,Static 20%,111,0.43243243243243246,7.495394063668666,42476.97031834333,16462.839895107063,1624.5049999999997,7,0.019274992268166834,0.12337886398090128,0.15622604752748048,1.0,0.0571283720785205,0.32432432432432434,0.018018018018018018,0.6486486486486487,0.009009009009009009,0.0,2.0,2.0x
uncapped,Uncapped,111,0.43243243243243246,7.439234798239083,42196.173991195414,16451.90615285696,1624.5049999999997,7,0.019215240007044283,0.1242012067784126,0.15471057411967176,1.0,0.05761253998994472,0.34234234234234234,0.0,0.6486486486486487,0.009009009009009009,0.0,2.0,2.0x
phase_double_then_12,20% until 2x bankroll → 12%,111,0.43243243243243246,8.180106159968965,45900.53079984482,16015.353240764387,1624.5049999999997,7,0.01997332224173247,0.11628600038609965,0.17176033379268238,1.0,0.05260158352068513,0.25225225225225223,0.08108108108108109,0.6576576576576577,0.009009009009009009,0.0,2.0,2.0x
phase_10k_then_12,20% until $10k → 12%,111,0.43243243243243246,8.180106159968965,45900.53079984482,16015.353240764387,1624.5049999999997,7,0.01997332224173247,0.11628600038609965,0.17176033379268238,1.0,0.05260158352068513,0.25225225225225223,0.08108108108108109,0.6576576576576577,0.009009009009009009,0.0,2.0,2.0x
edge_conditioned,Edge-conditioned 12/15/20,111,0.43243243243243246,7.495394063668666,42476.97031834333,16462.839895107063,1624.5049999999997,7,0.019274992268166834,0.12337886398090128,0.15622604752748048,1.0,0.0571283720785205,0.32432432432432434,0.018018018018018018,0.6486486486486487,0.009009009009009009,0.0,2.0,2.0x
static_12,Static 12%,111,0.43243243243243246,8.928577770833648,49642.88885416824,20846.784137658608,1905.946938330354,7,0.02067943461535343,0.12238274237595977,0.16897345339611863,1.0,0.0593363162891603,0.3153153153153153,0.17117117117117117,0.5045045045045045,0.009009009009009009,0.0,3.0,3.0x
static_15,Static 15%,111,0.43243243243243246,9.023869239561282,50119.346197806415,22283.99814985454,2016.4491430203225,7,0.020765488042992608,0.13085474377804535,0.15869113677846364,1.0,0.06289769849422988,0.40540540540540543,0.08108108108108109,0.5045045045045045,0.009009009009009009,0.0,3.0,3.0x
static_20,Static 20%,111,0.43243243243243246,8.308184989265666,46540.92494632833,21594.957637914493,2200.6328175036033,7,0.02009814522040846,0.13786063673462506,0.14578595962164603,1.0,0.0668854739466284,0.45045045045045046,0.036036036036036036,0.5045045045045045,0.009009009009009009,0.0,3.0,3.0x
uncapped,Uncapped,111,0.43243243243243246,7.984999985137932,44924.99992568966,21283.805333905133,2221.82661957048,7,0.019779788455688514,0.13973759804978828,0.14154950945014103,1.0,0.06812081167864094,0.4864864864864865,0.0,0.5045045045045045,0.009009009009009009,0.0,3.0,3.0x
