model,edge_min,norm_min,trades,hit_rate,total_pnl,total_fees,roi_per_trade,mean_edge,mean_entry_price
elo,0.05,0.0,219,0.416,30.8,10.81,0.141,0.108,0.366
elo,0.05,0.1,205,0.39,29.07,10.44,0.142,0.112,0.344
elo,0.05,0.2,178,0.365,33.23,9.54,0.187,0.122,0.305
elo,0.05,0.25,155,0.342,30.89,8.63,0.199,0.127,0.279
elo,0.1,0.0,127,0.402,17.59,6.46,0.139,0.145,0.343
elo,0.1,0.1,127,0.402,17.59,6.46,0.139,0.145,0.343
elo,0.1,0.2,125,0.392,16.93,6.41,0.135,0.147,0.336
elo,0.1,0.25,112,0.366,15.78,5.98,0.141,0.152,0.309
elo,0.15,0.0,69,0.391,17.8,3.63,0.258,0.186,0.322
elo,0.15,0.1,69,0.391,17.8,3.63,0.258,0.186,0.322
elo,0.15,0.2,69,0.391,17.8,3.63,0.258,0.186,0.322
elo,0.15,0.25,68,0.397,18.88,3.6,0.278,0.187,0.317
full_model,0.05,0.0,205,0.463,28.3,9.27,0.138,0.107,0.424
full_model,0.05,0.1,191,0.44,27.92,9.0,0.146,0.112,0.398
full_model,0.05,0.2,154,0.416,35.08,7.89,0.228,0.126,0.34
full_model,0.05,0.25,134,0.403,32.79,7.11,0.245,0.134,0.316
full_model,0.1,0.0,122,0.459,18.44,5.7,0.151,0.147,0.407
full_model,0.1,0.1,122,0.459,18.44,5.7,0.151,0.147,0.407
full_model,0.1,0.2,112,0.455,22.12,5.45,0.198,0.153,0.38
full_model,0.1,0.25,101,0.455,25.55,5.12,0.253,0.158,0.352
full_model,0.15,0.0,62,0.532,21.11,2.91,0.34,0.189,0.408
full_model,0.15,0.1,62,0.532,21.11,2.91,0.34,0.189,0.408
full_model,0.15,0.2,62,0.532,21.11,2.91,0.34,0.189,0.408
full_model,0.15,0.25,59,0.525,21.32,2.82,0.361,0.192,0.395
