model,edge_min,norm_min,trades,hit_rate,mean_kelly_fraction,mean_log_return,final_bankroll,total_return,max_drawdown,mean_edge,mean_entry_price
elo,0.05,0.0,219,0.416,0.183,-0.0081,17.01,-0.83,622.78,0.108,0.366
elo,0.05,0.1,205,0.39,0.184,-0.0095,14.14,-0.859,609.31,0.112,0.344
elo,0.05,0.2,178,0.365,0.189,-0.0059,35.01,-0.65,1358.64,0.122,0.305
elo,0.05,0.25,155,0.342,0.189,-0.0049,46.91,-0.531,1730.96,0.127,0.279
elo,0.1,0.0,127,0.402,0.233,-0.0126,20.09,-0.799,316.34,0.145,0.343
elo,0.1,0.1,127,0.402,0.233,-0.0126,20.09,-0.799,316.34,0.145,0.343
elo,0.1,0.2,125,0.392,0.234,-0.0161,13.39,-0.866,258.19,0.147,0.336
elo,0.1,0.25,112,0.366,0.231,-0.0173,14.37,-0.856,279.06,0.152,0.309
elo,0.15,0.0,69,0.391,0.289,-0.0224,21.25,-0.787,327.11,0.186,0.322
elo,0.15,0.1,69,0.391,0.289,-0.0224,21.25,-0.787,327.11,0.186,0.322
elo,0.15,0.2,69,0.391,0.289,-0.0224,21.25,-0.787,327.11,0.186,0.322
elo,0.15,0.25,68,0.397,0.287,-0.0136,39.66,-0.603,321.21,0.187,0.317
full_model,0.05,0.0,205,0.463,0.211,-0.0103,12.1,-0.879,479.75,0.107,0.424
full_model,0.05,0.1,191,0.44,0.212,-0.0128,8.72,-0.913,334.76,0.112,0.398
full_model,0.05,0.2,154,0.416,0.216,0.0007,110.53,0.105,3640.95,0.126,0.34
full_model,0.05,0.25,134,0.403,0.218,0.0084,306.31,2.063,6591.75,0.134,0.316
full_model,0.1,0.0,122,0.459,0.275,-0.0226,6.37,-0.936,182.83,0.147,0.407
full_model,0.1,0.1,122,0.459,0.275,-0.0226,6.37,-0.936,182.83,0.147,0.407
full_model,0.1,0.2,112,0.455,0.269,-0.0106,30.36,-0.696,839.38,0.153,0.38
full_model,0.1,0.25,101,0.455,0.263,0.0068,199.59,0.996,3717.15,0.158,0.352
full_model,0.15,0.0,62,0.532,0.341,0.0112,200.68,1.007,4322.09,0.189,0.408
full_model,0.15,0.1,62,0.532,0.341,0.0112,200.68,1.007,4322.09,0.189,0.408
full_model,0.15,0.2,62,0.532,0.341,0.0112,200.68,1.007,4322.09,0.189,0.408
full_model,0.15,0.25,59,0.525,0.336,0.0165,264.04,1.64,2888.32,0.192,0.395
