model,edge_min,norm_min,trades,hit_rate,mean_kelly_fraction,mean_log_return,final_bankroll,total_return,max_drawdown,mean_edge,mean_entry_price
elo,0.05,0.0,219,0.416,0.183,0.0059,361.66,2.617,758.92,0.108,0.366
elo,0.05,0.1,205,0.39,0.184,0.0057,323.01,2.23,728.62,0.112,0.344
elo,0.05,0.2,178,0.365,0.189,0.009,497.42,3.974,1039.12,0.122,0.305
elo,0.05,0.25,155,0.342,0.189,0.0106,516.97,4.17,1096.1,0.127,0.279
elo,0.1,0.0,127,0.402,0.233,0.0085,294.73,1.947,416.44,0.145,0.343
elo,0.1,0.1,127,0.402,0.233,0.0085,294.73,1.947,416.44,0.145,0.343
elo,0.1,0.2,125,0.392,0.234,0.0072,247.32,1.473,374.59,0.147,0.336
elo,0.1,0.25,112,0.366,0.231,0.0076,235.42,1.354,364.62,0.152,0.309
elo,0.15,0.0,69,0.391,0.289,0.0129,243.97,1.44,388.91,0.186,0.322
elo,0.15,0.1,69,0.391,0.289,0.0129,243.97,1.44,388.91,0.186,0.322
elo,0.15,0.2,69,0.391,0.289,0.0129,243.97,1.44,388.91,0.186,0.322
elo,0.15,0.25,68,0.397,0.287,0.0171,320.09,2.201,514.48,0.187,0.317
full_model,0.05,0.0,205,0.463,0.211,0.0056,312.11,2.121,1148.18,0.107,0.424
full_model,0.05,0.1,191,0.44,0.212,0.0052,271.94,1.719,883.57,0.112,0.398
full_model,0.05,0.2,154,0.416,0.216,0.0137,821.86,7.219,2338.51,0.126,0.34
full_model,0.05,0.25,134,0.403,0.218,0.0183,1161.79,10.618,2706.17,0.134,0.316
full_model,0.1,0.0,122,0.459,0.275,0.0054,194.14,0.941,490.31,0.147,0.407
full_model,0.1,0.1,122,0.459,0.275,0.0054,194.14,0.941,490.31,0.147,0.407
full_model,0.1,0.2,112,0.455,0.269,0.0119,379.25,2.793,989.91,0.153,0.38
full_model,0.1,0.25,101,0.455,0.263,0.0208,820.7,7.207,1778.96,0.158,0.352
full_model,0.15,0.0,62,0.532,0.341,0.0301,647.86,5.479,1733.6,0.189,0.408
full_model,0.15,0.1,62,0.532,0.341,0.0301,647.86,5.479,1733.6,0.189,0.408
full_model,0.15,0.2,62,0.532,0.341,0.0301,647.86,5.479,1733.6,0.189,0.408
full_model,0.15,0.25,59,0.525,0.336,0.0331,706.39,6.064,1282.73,0.192,0.395
