subset,n,mean,std,min,p05,p25,median,p75,p95,max,unit
All trades,111,3.9289989199026656,3.7339235916297646,0.0002869901663311725,0.21245873151062633,1.094937724546718,2.714257634693371,5.6382635013774625,10.875694950421654,16.16463639118335,pct_of_portfolio
Liquidity-capped (binder = rolling/cumulative/sweep_short),98,3.3213167279392013,3.2782178885173687,0.0002869901663311725,0.18302081861049949,1.001554100222952,2.3275111446409844,4.839038358668635,9.311962758122549,16.16463639118335,pct_of_portfolio
  rolling_liq only,97,3.3546281259946293,3.2785330643801145,0.0002869901663311725,0.22040407976743098,1.0597339164182533,2.3342301747741776,4.88358268761793,9.362091449636313,16.16463639118335,pct_of_portfolio
  cumulative_liq only,1,0.09011111656273199,,0.09011111656273199,0.09011111656273199,0.09011111656273199,0.09011111656273199,0.09011111656273199,0.09011111656273199,0.09011111656273199,pct_of_portfolio
  sweep_short only,0,,,,,,,,,,pct_of_portfolio
Kelly-binding (no liq cap held),13,8.509987751627245,3.8966770637020733,3.408285257327987,3.8169201225909353,5.283050474367644,7.877705112481724,11.370954910914104,14.484123450815265,15.379167650197001,pct_of_portfolio
All trades,111,538.9135533422973,616.6098050472343,0.0315,20.436,108.7365,325.125,836.5229999999999,1503.0382467707661,3504.3332037281325,dollars
Liquidity-capped,98,454.26598469387756,518.7743421396931,0.0315,15.296925000000002,96.52950000000001,272.23350000000005,648.18975,1337.7703499999989,3045.7004999999995,dollars
  rolling_liq only,97,458.84707731958764,519.4729354312243,0.0315,23.380800000000008,105.48900000000002,272.83050000000003,649.6155,1343.5412999999985,3045.7004999999995,dollars
  cumulative_liq only,1,9.9,,9.9,9.9,9.9,9.9,9.9,9.9,9.9,dollars
  sweep_short only,0,,,,,,,,,,dollars
Kelly-binding,13,1177.0259939226917,900.088529813651,196.7184752413124,289.62536372858784,690.9127031341175,1134.4422143625509,1274.19295065631,2823.903108098662,3504.3332037281325,dollars
