edge_bucket,n,mean_log_ret,median_log_ret,hit_rate,total_pnl,model
5–10%,61,0.0024501457774051055,-0.04424359952851375,0.2459016393442623,91.74892971894106,elo
10–15%,48,-0.016988542118864337,-0.08004219175295221,0.3333333333333333,-90.69165609077444,elo
15–20%,31,0.02588850203465465,-0.0998239666498373,0.45161290322580644,68.17887983694347,elo
20–30%,13,0.0439173455111289,-0.16472060019060872,0.46153846153846156,92.23501181241559,elo
30%+,2,0.4676704798683736,0.4676704798683736,1.0,255.50101913964494,elo
5–10%,48,-0.0008301214281124144,-0.04454664591201935,0.22916666666666666,-214.79346199911097,full_model
10–15%,43,0.024075236861486146,-0.06781940628550354,0.46511627906976744,1588.995970424257,full_model
15–20%,25,0.010972864042378277,0.11398155648144724,0.56,174.76428140666764,full_model
20–30%,15,0.03663239543378797,-0.1451517568178295,0.4666666666666667,-813.1695620006858,full_model
30%+,3,0.2111155003278312,0.32886877326255515,0.6666666666666666,325.98856399237235,full_model
