cap_pct,period,n_trades,n_cap_bound,sum_delta_log_ret,share_of_total_gap,wealth_multiplier,mean_uncapped_log_ret,mean_capped_log_ret
6.0,2025-05,13,7,-0.4028586549383072,-0.4547219051046663,0.6684065686146958,-0.030853079696071626,0.00013604760687509104
6.0,2025-06,38,27,0.2122367738250967,0.2395597288130629,1.2364406071947387,0.025499574666758364,0.019914396408203187
6.0,2025-07,34,24,0.15642383293072662,0.17656153701085714,1.1693216951205372,0.013853895581437462,0.009253194612886683
6.0,2025-08,34,29,0.8818966754812865,0.9954303611566522,2.41547673997977,0.043237982866334235,0.017299845352178746
6.0,2025-09,13,8,-0.06330750519689643,-0.07145759193125621,0.9386547880798193,-0.034867327502099255,-0.029997519410030298
6.0,2025-10,2,1,0.10155400263445011,0.11462787005535023,1.1068896917373616,0.07380003052621703,0.023023029208991987
8.0,2025-05,13,5,-0.33868706718756114,-0.5300933339597339,0.7127054431150527,-0.030853079696071626,-0.004800228373951541
8.0,2025-06,38,21,0.12095164557748715,0.1893064934085001,1.1285703396808988,0.025499574666758364,0.022316636625245547
8.0,2025-07,34,16,0.08791907043207628,0.13760582460673196,1.0918997514772473,0.013853895581437462,0.011268040568729334
8.0,2025-08,34,26,0.6736836039451661,1.0544104639564984,1.9614492316972143,0.043237982866334235,0.023423759220888175
8.0,2025-09,13,7,0.020348792018014775,0.03184874784991151,1.0205572401748824,-0.034867327502099255,-0.0364326191957927
8.0,2025-10,2,1,0.07470364254159217,0.11692180413809193,1.0775647592066078,0.07380003052621703,0.03644820925542095
10.0,2025-05,13,4,-0.2742841622277912,-0.6702391652235193,0.7601160482993198,-0.030853079696071626,-0.009754297986241538
10.0,2025-06,38,17,0.08298780423832089,0.20278851022477776,1.0865285574240906,0.025499574666758364,0.023315685081539396
10.0,2025-07,34,15,0.03227202243575422,0.07885972416975008,1.0327984114365232,0.013853895581437462,0.012904718450974104
10.0,2025-08,34,20,0.47263515552898316,1.1549284855680124,1.6042159868603616,0.043237982866334235,0.02933694888018767
10.0,2025-09,13,6,0.047027177154651156,0.11491533343720826,1.0481504944406634,-0.034867327502099255,-0.03848480266784165
10.0,2025-10,2,1,0.04859526833632723,0.11874711182377105,1.049795379315747,0.07380003052621703,0.049502396358053424
12.0,2025-05,13,4,-0.21085461810755307,-1.0320094901041599,0.8098918019256384,-0.030853079696071626,-0.014633493687798316
12.0,2025-06,38,12,0.023428751068692487,0.11466997337400273,1.0237053602353028,0.025499574666758364,0.024883028586003293
12.0,2025-07,34,10,-0.02537427768409853,-0.12419218326615276,0.9749449435972105,0.013853895581437462,0.014600197866263886
12.0,2025-08,34,15,0.3197234576786144,1.564858505327782,1.3767469828806835,0.043237982866334235,0.03383435175813969
12.0,2025-09,13,6,0.07407730741453654,0.3625649034358355,1.0768900538641248,-0.034867327502099255,-0.04056558191860206
12.0,2025-10,2,1,0.02331399120016469,0.11410829123269253,1.0235878866835046,0.07380003052621703,0.062143034926134696
15.0,2025-05,13,2,-0.13588842312833482,-1.2713824926913344,0.8729400269724933,-0.030853079696071626,-0.02040012407081511
15.0,2025-06,38,7,-0.0035951271036784097,-0.033636284485398196,0.9964113276282566,0.025499574666758364,0.025594183274749903
15.0,2025-07,34,4,-0.03561429177779768,-0.3332100411021067,0.9650124349401834,0.013853895581437462,0.01490137475137269
15.0,2025-08,34,10,0.21933825794349937,2.0521455375445736,1.2452524219790417,0.043237982866334235,0.0367868576327019
15.0,2025-09,13,5,0.06283547664733154,0.5878935312531024,1.0648516318582806,-0.034867327502099255,-0.03970082570574014
15.0,2025-10,2,0,-0.00019348393570473021,-0.0018102505188369992,0.9998065347811048,0.07380003052621703,0.0738967724940694
