px_bucket,n,hit_rate,mean_pnl,total_pnl,mean_log_ret,model
0–20%,35,0.17142857142857143,-11.66175557715041,-408.1614452002644,0.02012597291678007,full_model
20–35%,46,0.34782608695652173,-16.758762233784562,-770.9030627540899,0.018012393213989807,full_model
35–50%,38,0.5526315789473685,42.53286920041916,1616.249029615928,0.01198641511279852,full_model
50–65%,12,0.75,70.83681342834727,850.0417611401672,0.05136935072430889,full_model
65–80%,3,0.6666666666666666,-75.14683032608018,-225.44049097824052,-0.05078391095486837,full_model
0–20%,50,0.18,-9.462638225775576,-473.13191128877884,0.01657297011776574,elo
20–35%,62,0.3548387096774194,11.917755440853089,738.9008373328915,0.013692031799222877,elo
35–50%,36,0.5,5.1952489845443335,187.028963443596,0.00468670402188896,elo
50–65%,6,0.6666666666666666,25.906927649946297,155.44156589967778,0.019190465541137233,elo
65–80%,1,0.0,-191.26727097021586,-191.26727097021586,-0.31859973030299077,elo
