method,test_year,train_start,log_loss,n_games
extend_2015,2020,2015,0.5952431497982628,147
extend_2015,2021,2015,0.605204274844837,209
extend_2015,2022,2015,0.6096517562587995,239
extend_2015,2023,2015,0.5984058883326775,260
extend_2015,2024,2015,0.588709637749188,262
extend_2018,2020,2018,0.5966230798777731,147
extend_2018,2021,2018,0.6180144146794524,209
extend_2018,2022,2018,0.6134282045005067,239
extend_2018,2023,2018,0.5997558299740288,260
extend_2018,2024,2018,0.592638164433659,262
roll_2yr,2020,2018,0.5966230798777731,147
roll_2yr,2021,2019,0.6067253285487575,209
roll_2yr,2022,2020,0.6127476118227211,239
roll_2yr,2023,2021,0.5964607808448407,260
roll_2yr,2024,2022,0.5959193257650257,262
roll_3yr,2020,2017,0.5959225319456398,147
roll_3yr,2021,2018,0.6180144146794524,209
roll_3yr,2022,2019,0.6141663973266513,239
roll_3yr,2023,2020,0.5971502271862863,260
roll_3yr,2024,2021,0.5947325847873578,262
